NOM_COMPLET;Nom commercial;DOSAGE;FORME;PRESENTATION;DCI;FABRIQUANT;PPV;PH;PFHT;UNITES_PAR_BOITE
VUZOR 5 MG BOITE DE 30 COMPRIMES PELLICULES;VUZOR;5 MG;COMPRIMES PELLICULES;BOITE DE 30;ROSUVASTATINE SOUS FORME DE ROSUVASTATINE CALCIQUE;ISIO LABORATOIRES;SANS PPV;SANS PH;SANS PFHT;30
VUZOR 10 MG BOITE DE 10 COMPRIMES PELLICULES;VUZOR;10 MG;COMPRIMES PELLICULES;BOITE DE 10;ROSUVASTATINE SOUS FORME DE ROSUVASTATINE CALCIQUE;ISIO LABORATOIRES;SANS PPV;SANS PH;SANS PFHT;10
VUZOR 10 MG BOITE DE 30 COMPRIMES PELLICULES;VUZOR;10 MG;COMPRIMES PELLICULES;BOITE DE 30;ROSUVASTATINE SOUS FORME DE ROSUVASTATINE CALCIQUE;ISIO LABORATOIRES;SANS PPV;SANS PH;SANS PFHT;30
VUZOR 20 MG BOITE DE 10 COMPRIMES PELLICULES;VUZOR;20 MG;COMPRIMES PELLICULES;BOITE DE 10;ROSUVASTATINE SOUS FORME DE ROSUVASTATINE CALCIQUE;ISIO LABORATOIRES;SANS PPV;SANS PH;SANS PFHT;10
VUZOR 20 MG BOITE DE 30 COMPRIMES PELLICULES;VUZOR;20 MG;COMPRIMES PELLICULES;BOITE DE 30;ROSUVASTATINE SOUS FORME DE ROSUVASTATINE CALCIQUE;ISIO LABORATOIRES;SANS PPV;SANS PH;SANS PFHT;30
THROPTINE 20 MCG (40 MCG / ML ) BOITE DE 1 SOLUTION INJECTABLE EN SERINGUE PRE-REMPLIE DE 0.5 ML;THROPTINE;20 MCG (40 MCG / ML );SOLUTION INJECTABLE EN SERINGUE PRE-REMPLIE DE 0.5 ML;BOITE DE 1;DARBEPOETIN ALFA;SOTHEMA;SANS PPV;SANS PH;SANS PFHT;1
THROPTINE 20 MCG (40 MCG / ML ) BOITE DE 4 SOLUTION INJECTABLE EN SERINGUE PRE-REMPLIE DE 0.5 ML;THROPTINE;20 MCG (40 MCG / ML );SOLUTION INJECTABLE EN SERINGUE PRE-REMPLIE DE 0.5 ML;BOITE DE 4;DARBEPOETIN ALFA;SOTHEMA;SANS PPV;SANS PH;SANS PFHT;4
THROPTINE 30 MCG (100 MCG / ML) BOITE DE 1 SOLUTION INJECTABLE EN SERINGUE PRE-REMPLIE DE 0.3 ML;THROPTINE;30 MCG (100 MCG / ML);SOLUTION INJECTABLE EN SERINGUE PRE-REMPLIE DE 0.3 ML;BOITE DE 1;DARBEPOETIN ALFA;SOTHEMA;SANS PPV;SANS PH;SANS PFHT;1
THROPTINE 30 MCG (100 MCG / ML) BOITE DE 4 SOLUTION INJECTABLE EN SERINGUE PRE-REMPLIE DE 0.3 ML;THROPTINE;30 MCG (100 MCG / ML);SOLUTION INJECTABLE EN SERINGUE PRE-REMPLIE DE 0.3 ML;BOITE DE 4;DARBEPOETIN ALFA;SOTHEMA;SANS PPV;SANS PH;SANS PFHT;4
THROPTINE 40 MCG (100 MCG / ML) BOITE DE 1 SOLUTION INJECTABLE EN SERINGUE PRE-REMPLIE DE 0.4 ML;THROPTINE;40 MCG (100 MCG / ML);SOLUTION INJECTABLE EN SERINGUE PRE-REMPLIE DE 0.4 ML;BOITE DE 1;DARBEPOETIN ALFA;SOTHEMA;SANS PPV;SANS PH;SANS PFHT;1
THROPTINE 40 MCG (100 MCG / ML) BOITE DE 4 SOLUTION INJECTABLE EN SERINGUE PRE-REMPLIE DE 0.4 ML;THROPTINE;40 MCG (100 MCG / ML);SOLUTION INJECTABLE EN SERINGUE PRE-REMPLIE DE 0.4 ML;BOITE DE 4;DARBEPOETIN ALFA;SOTHEMA;SANS PPV;SANS PH;SANS PFHT;4
THROPTINE 50 MCG (100 MCG / ML) BOITE DE 1 SOLUTION INJECTABLE EN SERINGUE PRE-REMPLIE DE 0.5 ML;THROPTINE;50 MCG (100 MCG / ML);SOLUTION INJECTABLE EN SERINGUE PRE-REMPLIE DE 0.5 ML;BOITE DE 1;DARBEPOETIN ALFA;SOTHEMA;SANS PPV;SANS PH;SANS PFHT;1
